+---------------------------------------------------------------------------------+----------+
| org_name                                                                        | count(*) |
+---------------------------------------------------------------------------------+----------+
| Elsevier                                                                        |      148 |
| JSTOR                                                                           |      103 |
| Annual Reviews                                                                  |       84 |
| Oxford University Press                                                         |       72 |
| Taylor & Francis                                                                |       49 |
| Wiley                                                                           |       37 |
| Springer                                                                        |       33 |
| Project Muse                                                                    |       33 |
| SAGE                                                                            |       33 |
| Emerald                                                                         |       32 |
| Cambridge University Press                                                      |       29 |
| Maney Publishing                                                                |       28 |
| De Gruyter                                                                      |       25 |
| IOP                                                                             |       20 |
| Proquest                                                                        |       18 |
| Royal Society of Chemistry                                                      |       17 |
| BMJ                                                                             |       16 |
| Brill                                                                           |       15 |
| Duke University Press                                                           |       15 |
| Edinburgh University Press                                                      |       14 |
| American Chemical Society                                                       |       14 |
| American Institute of Physics                                                   |       13 |
| Institution of Civil Engineers                                                  |       12 |
| ISPG                                                                            |       12 |
| Nature                                                                          |       11 |
| Georg Thieme Verlag                                                             |       10 |
| BioOne                                                                          |       10 |
| EBSCO                                                                           |        9 |
| Bloomsbury                                                                      |        9 |
| Informa Healthcare                                                              |        9 |
| Cengage                                                                         |        9 |
| S. Karger AG                                                                    |        9 |
| Now Publishing                                                                  |        8 |
| Bentham Science                                                                 |        8 |
| EDP Sciences                                                                    |        8 |
| Project Euclid                                                                  |        8 |
| ASCE                                                                            |        8 |
| American Physical Society                                                       |        7 |
| SAGE - The Royal Society of Medicine                                            |        7 |
| Karger                                                                          |        7 |
| Multi-Science                                                                   |        7 |
| AAAS                                                                            |        6 |
| IMechE                                                                          |        5 |
| Future Medicine                                                                 |        5 |
| Association of Computing Machinery                                              |        5 |
| Society for Industrial and Applied Mathematics                                  |        5 |
| American Physiological Society                                                  |        4 |
| Expert Reviews Ltd                                                              |        4 |
| Wolters Kluwer                                                                  |        4 |
| The Geological Society of America                                               |        4 |
| IOS Press                                                                       |        4 |
| BioMed Central Ltd                                                              |        4 |
| Exact Editions                                                                  |        3 |
| American Psychological Association                                              |        3 |
| American Society of Mechanical Engineers                                        |        3 |
| Mary Ann Liebert                                                                |        3 |
| Digitorial Limited                                                              |        3 |
| Internet Archaeology                                                            |        3 |
| Universitetsforlaget                                                            |        3 |
| Berg                                                                            |        3 |
| NRC Research Press                                                              |        3 |
| JoVe                                                                            |        3 |
| IEEE                                                                            |        3 |
| Ovid                                                                            |        2 |
| American Society for Microbiology                                               |        2 |
| Royal College of Nursing                                                        |        2 |
| Intellect                                                                       |        2 |
| Bepress                                                                         |        2 |
| LexisNexis                                                                      |        2 |
| Mark Allen Publishing Limited                                                   |        2 |
| University of Pennsylvania Press                                                |        2 |
| American Society for Biochemistry and Molecular Biology                         |        2 |
| Thieme                                                                          |        2 |
| American Mathematical Society                                                   |        2 |
| Vittorio Klostermann                                                            |        2 |
| Inderscience                                                                    |        2 |
| Ubiquity Press                                                                  |        2 |
| Philosophy Documentation Center                                                 |        2 |
| Institution of Civil Engineers Publishing                                       |        2 |
| American Association of Cancer Research                                         |        2 |
| American Occupational Therapy Association                                       |        2 |
| OECD                                                                            |        2 |
| Begell House                                                                    |        2 |
| Royal Society Publishing                                                        |        2 |
| The Endocrine Society                                                           |        2 |
| IGI Global                                                                      |        2 |
| SAGE Publications                                                               |        2 |
| ICE Publishing                                                                  |        2 |
| American Meteorological Society                                                 |        2 |
| Liverpool University Press                                                      |        2 |
| Manchester University Press                                                     |        2 |
| American Library Association                                                    |        2 |
| The National Library of Wales Aberystwyth                                       |        1 |
| Edizioni Minerva Medica                                                         |        1 |
| Forest Products Society                                                         |        1 |
| Edizioni Tecnico Scientifica                                                    |        1 |
| Imperial Cancer Research Fund                                                   |        1 |
| British Science Association                                                     |        1 |
| Federation of American Societies for Experimental Biology                       |        1 |
| Frontiers Media                                                                 |        1 |
| Indicator                                                                       |        1 |
| Government of Canada                                                            |        1 |
| Bioline International                                                           |        1 |
| CJEAS                                                                           |        1 |
| Bizmedia                                                                        |        1 |
| Association for Physical Education                                              |        1 |
| Association Digital Forensics Security Law                                      |        1 |
| AAHPERD                                                                         |        1 |
| Springer Publishing Company                                                     |        1 |
| Archaeology Data Service                                                        |        1 |
| International Monetary Fund                                                     |        1 |
| Overseas Development Institute                                                  |        1 |
| Alliance of Crop, Soil, and Environmental Science Societies                     |        1 |
| American Medical Association                                                    |        1 |
| Dove Medical Press                                                              |        1 |
| Purdue University Press                                                         |        1 |
| Bioscientifica                                                                  |        1 |
| American Economic Association                                                   |        1 |
| Council for Exceptional Children                                                |        1 |
| Centre for Economic Policy Research                                             |        1 |
| American Diabetes Association                                                   |        1 |
| American College of Chest Physicians                                            |        1 |
| American Chinese Media Research Association                                     |        1 |
| American Association of Neurological Surgeons                                   |        1 |
| American Association of Critical Care                                           |        1 |
| American Academy of Pediatrics                                                  |        1 |
| Allen Press                                                                     |        1 |
| Columbia University                                                             |        1 |
| American Philosophical Association                                              |        1 |
| American Society for Cell Biology                                               |        1 |
| Astronomical Society of the Pacific                                             |        1 |
| Association of Teachers of Mathematics                                          |        1 |
| Association of Ancient Historians                                               |        1 |
| Association for Research in Vision and Ophthalmology                            |        1 |
| American Society on Aging                                                       |        1 |
| American Society of Nephrology                                                  |        1 |
| American Society of Hematology                                                  |        1 |
| American Society for Pharmacology and Experimental Therapeutics                 |        1 |
| Akademos Press                                                                  |        1 |
| Aboservice Oesterreichischer Agrarverlag                                        |        1 |
| Equinox Publishing                                                              |        1 |
| Brepols                                                                         |        1 |
| Radiological Society of North America                                           |        1 |
| East View Information Services                                                  |        1 |
| Massachusetts Medical Society                                                   |        1 |
| Neoplasia Press                                                                 |        1 |
| Society for Leukocyte Biology                                                   |        1 |
| Editorial Academy of the International Journal of Oncology                      |        1 |
| University of the Basque Country Press                                          |        1 |
| Society for Experimental Biology                                                |        1 |
| The Harvey Society                                                              |        1 |
| University of Wisconsin Press                                                   |        1 |
| The National Library of Wales                                                   |        1 |
| American College of Physicians                                                  |        1 |
| Research Professional                                                           |        1 |
| American Society for Clinical Investigation                                     |        1 |
| Biotechniques                                                                   |        1 |
| British Association for the Advancement of Science                              |        1 |
| The Scientist                                                                   |        1 |
| International Agency for Research on Cancer                                     |        1 |
| Cryoletters LLP and Pritchard                                                   |        1 |
| Visual Talent                                                                   |        1 |
| Aesthetica Magazine                                                             |        1 |
| The Royal Navy                                                                  |        1 |
| Tatler Publishing Company                                                       |        1 |
| University of Miami - Rosenstiel School of Marine and Atmospheric Science       |        1 |
| Sears Foundation for Marine Research                                            |        1 |
| Commonwealth Forestry Association                                               |        1 |
| Association for Science Education                                               |        1 |
| Keesings                                                                        |        1 |
| Applied Probability Trust                                                       |        1 |
| Bruil En Van De Staaij                                                          |        1 |
| Carl Ed Schuenemann KG                                                          |        1 |
| Sublime Magazine                                                                |        1 |
| SBS Place de la Constitution                                                    |        1 |
| SayOne Media                                                                    |        1 |
| Photo Works Magazine                                                            |        1 |
| Mslexia Publications                                                            |        1 |
| Metropolitan Publications                                                       |        1 |
| Kid's Wear Verlag                                                               |        1 |
| Informa                                                                         |        1 |
| National Academy of Sciences                                                    |        1 |
| PrAcademics Press                                                               |        1 |
| Peeters Online Journals                                                         |        1 |
| Schofield Publishing                                                            |        1 |
| Mohr Siebeck                                                                    |        1 |
| Frankfurter Societaets-Medien                                                   |        1 |
| Ceramic Arts Daily                                                              |        1 |
| Craft Potters Association                                                       |        1 |
| Arts of Asia                                                                    |        1 |
| ArtReview                                                                       |        1 |
| Independent                                                                     |        1 |
| The Financial Times Limited                                                     |        1 |
| American Institute of Certified Public Accountants                              |        1 |
| Le Monde                                                                        |        1 |
| Professional Boatbuilder                                                        |        1 |
| US Naval Institute                                                              |        1 |
| Private Eye                                                                     |        1 |
| National Geographic Society                                                     |        1 |
| Mercator Media                                                                  |        1 |
| Les Editions Jalou                                                              |        1 |
| Salisbury University                                                            |        1 |
| Legal Action Group                                                              |        1 |
| National Institute of Adult Continuing Education                                |        1 |
| Economic and Political Weekly                                                   |        1 |
| Project Manager Today                                                           |        1 |
| Rainer Hampp Verlag                                                             |        1 |
| Sagamore Publishing LLC                                                         |        1 |
| School Bookshop Association                                                     |        1 |
| Science & Medicine                                                              |        1 |
| Scope                                                                           |        1 |
| Sheffield Hallam University                                                     |        1 |
| Slack Inc                                                                       |        1 |
| Pavillion Publishing                                                            |        1 |
| Nielsen Company                                                                 |        1 |
| National Council of Teacher of English                                          |        1 |
| Euromoney Institute Investor PLC                                                |        1 |
| Geographical Association                                                        |        1 |
| Hayward Medical Commmunications                                                 |        1 |
| Institute of Education - University of London                                   |        1 |
| International Society for Hypertension Blacks                                   |        1 |
| Intersentia NV                                                                  |        1 |
| J. Michael Ryan Publishing                                                      |        1 |
| Lloyds List Group / IBI                                                         |        1 |
| Youth & Policy                                                                  |        1 |
| Gunter Narr Verlag                                                              |        1 |
| Irish Nurses and Midwives Organisation                                          |        1 |
| Societe de Publications et d'Editions Reunies                                   |        1 |
| Vanity Fair Publications                                                        |        1 |
| Travelscope                                                                     |        1 |
| News Group Newspapers                                                           |        1 |
| Economist Newspaper                                                             |        1 |
| Institute of Shipping Economics and Logistics                                   |        1 |
| The Nautical Institute                                                          |        1 |
| Compass Publications                                                            |        1 |
| Yachting Press                                                                  |        1 |
| J. Reponen                                                                      |        1 |
| Media Business Insight                                                          |        1 |
| Society of American Foresters                                                   |        1 |
| Society for Reproduction and Fertility                                          |        1 |
| Hindawi Publishing Corporation                                                  |        1 |
| Optical Society                                                                 |        1 |
| Justis Publishing                                                               |        1 |
| Editions de la Station Biologique de Roscoff                                    |        1 |
| MA Education                                                                    |        1 |
| Pal Korneliussen                                                                |        1 |
| National Marine Electronics Association                                         |        1 |
| Institute for Operations Research and the Management Sciences                   |        1 |
| Estyn                                                                           |        1 |
| Brown University                                                                |        1 |
| Nida School of Translation Studies                                              |        1 |
| Theatre Record                                                                  |        1 |
| United Nations                                                                  |        1 |
| University of Nottingham                                                        |        1 |
| The Higher Education Academy                                                    |        1 |
| Association for the Advancement of Computing in Education                       |        1 |
| American Association for the Advancement of Science                             |        1 |
| Current Publishing                                                              |        1 |
| N.P. Engel                                                                      |        1 |
| Research Council on Mathematics Learning                                        |        1 |
| University of Winchester                                                        |        1 |
| Indian Society of Agricultural Economics                                        |        1 |
| Cushman Foundation for Foraminiferal Research                                   |        1 |
